Year,Climate_Class,Snow_water_equivalent,Discharge,Peak_DOY,Start_DOY,50_DOY,End_DOY,DRL,DDL,DSM,MRSM_mm,MRRL_mm,MRDL_mm,Spring_Snow,Air_temperature_Spring_mean,Wind_speed_Spring_mean,Wind_direction_Spring_mean,Relative_humidity_Spring_mean,Shortwave_radiation_Spring_mean,Longwave_radiation_Spring_mean,Water_temperature_outlet_Spring_mean,Air_temperature_Summer_mean,Wind_speed_Summer_mean,Wind_direction_Summer_mean,Relative_humidity_Summer_mean,Shortwave_radiation_Summer_mean,Longwave_radiation,Particulate_Carbon,Particulate_Nitrogen,CN_particulate_ratio,Soluble_reactive_phosphorus_SRP,Nitrate
1984,Average,1556,1223,236,200,239,316,95,109,116,4.2,3.5,4.8,58.1,4.1,NA,NA,NA,NA,NA,NA,12.55978261,NA,NA,NA,NA,NA,22.6,2.3,9.8,0.056277778,3.817916667
1985,Average,1052,837,254,212,253,296,141,101,84,3.1,2.6,3.9,3.6,3.3,NA,NA,NA,NA,NA,NA,12.86521739,NA,NA,NA,NA,NA,27.055,2.5904,10.93964859,0.0224,3.057
1986,Wet,2388,1834,242,198,255,349,102,100,151,8.3,4.9,11.8,65.1,2.3,NA,NA,NA,NA,NA,NA,9.111956522,4.2,NA,NA,NA,NA,15.30306363,1.263769421,12.27131182,0.01075,2.881
1987,Dry,798,684,227,176,225,292,82,70,116,4.1,3.8,4.5,27.7,2.3,NA,NA,54.1,NA,NA,NA,9.890217391,3.4,NA,37.5,NA,NA,19.67999648,2.34416073,8.692559508,0.022416667,5.972083333
1988,Dry,740,674,228,168,233,284,66,103,116,3.6,3.3,3.8,130.6,3.6,2,NA,63.1,NA,NA,NA,12.46521739,NA,NA,NA,NA,NA,32.34117857,2.940107145,10.99999999,NA,5.0195
1989,Dry,658,366,203,185,206,257,148,152,72,1.1,0.9,1.4,41,4.6,NA,NA,NA,NA,NA,NA,11.91413043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,Dry,568,551,251,163,233,298,72,46,135,4.3,5.1,2.9,36.5,4,NA,NA,NA,NA,NA,NA,12.24021739,NA,NA,NA,NA,NA,29.6444375,2.009454976,13.93079426,0,1.275
1991,Average,970,832,255,208,252,309,44,56,101,7.6,9.4,6.1,43.9,0.1,NA,NA,NA,NA,NA,NA,11.68586957,NA,NA,NA,NA,NA,24.71608333,1.532714285,16.12569516,NA,2.675
1992,Dry,617,568,219,176,224,298,30,80,122,4.7,5.8,4.3,NA,4.7,NA,NA,NA,NA,NA,15.1,11.08369565,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.725
1993,Wet,2185,1611,278,188,261,336,85,54,148,10.5,12.4,7.7,66.2,2.6,1.6,226.4,51.3,222.4,253,8.1,10.7173913,NA,NA,NA,NA,NA,NA,2.258214285,16.79756445,NA,0.75
1994,Dry,835,720,245,165,243,308,48,63,143,5.9,6.8,5.3,92.2,1.9,1.7,NA,59,NA,NA,15.5,13.93913043,1.5,206.7,40,309.5,289.8,40.25916667,1.507381428,26.70801559,NA,2.9
1995,Wet,2628,2019,278,201,276,351,118,71,150,9.7,7.6,13.2,186.4,-0.4,2,224,73.6,199.8,246.1,4.4,11.07173913,1.8,245.4,46.9,293.2,280.7,NA,NA,NA,NA,1
1996,Average,1642,1405,229,191,249,324,39,90,133,9.9,7.9,10.8,187.8,2.7,2,231.4,54.3,234.6,242,12,13.51630435,1.6,222.8,48.2,287,290.4,31.16458333,1.869945513,16.66603819,NA,1.025
1997,Average,1432,1503,242,194,242,313,149,96,119,5.7,4.5,7.7,1.3,3.4,1.9,240.1,53.3,234.6,NA,11.2,11.72173913,1.5,196.5,53.2,274.3,285.4,NA,NA,NA,NA,NA
1998,Wet,2126,2012,293,196,279,359,87,57,163,12.7,14.1,10.5,268.1,-0.6,1.6,137.5,63,226.1,242.2,NA,12.10543478,NA,NA,NA,NA,NA,23.34125,2.34903714,9.936518075,0,6.3775
1999,Average,1098,941,238,193,237,293,106,85,100,4.5,3.8,5.4,101.7,0.7,1.6,152.9,57.5,225.5,241.3,NA,11.46304348,1.5,191.1,53.9,282.4,283.1,NA,NA,NA,NA,NA
2000,Average,1239,916,237,178,239,283,41,66,105,7.8,8,7.7,93.4,3.5,1.8,139.7,55.2,244.7,243.2,NA,13.5923913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Dry,801,669,228,201,231,281,16,50,80,9.3,14.4,7.7,183.4,3.5,NA,NA,NA,NA,NA,15.6,13.10543478,1.5,189.7,48.3,295.8,286.5,NA,NA,NA,NA,NA
2002,Average,1195,849,249,181,243,290,123,65,109,4.1,3.7,5,41.1,1.8,NA,NA,NA,NA,NA,14.9,13.90869565,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.725
2003,Average,1199,750,247,224,245,308,84,56,84,4.8,4.2,5.8,249.7,1.7,1.5,149,NA,183.2,268.8,13.6,14.53586957,1.4,184,NA,229.1,312.3,NA,NA,NA,NA,3.55
2004,Dry,920,615,246,158,229,298,79,40,140,4.7,4.8,4.4,25.9,4.7,1.4,145.1,46.2,197.4,263.3,15.8,13.87826087,NA,NA,NA,NA,NA,24.4,2.4,10.34240274,0.103888928,3.622287117
2005,Wet,2293,1558,234,191,259,324,27,87,133,12.4,8,13.8,147.6,2.7,1.5,139.8,51.9,186.8,265.9,8.8,13.48043478,1.3,175.1,46.4,238.4,306.5,8.521123809,1.005366799,8.957074314,0.025732835,4.994555872
2006,Wet,2030,1652,267,199,257,316,51,52,117,14.6,18.3,11,247.6,1.5,1.8,147.5,56.4,174.5,272.9,9.5,14.49782609,1.4,162,41.9,236.3,308.2,NA,NA,NA,0.039030274,3.197171926
2007,Dry,756,506,229,149,227,277,61,62,128,3.8,3.8,3.8,79,4.7,1.5,155.5,47.5,194.9,266.3,17.4,14.91956522,1.4,211.1,38.3,245.5,308.1,NA,NA,NA,0.064047931,1.1
