Date,Year,Month,Day,Water_Year,Climate_class,DOY,Season,Outlet_water_temperature
1/1/92,1992,1,1,1992,Dry,1,Winter,0.5
1/2/92,1992,1,2,1992,Dry,2,Winter,0.5
1/3/92,1992,1,3,1992,Dry,3,Winter,0.5
1/4/92,1992,1,4,1992,Dry,4,Winter,0.5
1/5/92,1992,1,5,1992,Dry,5,Winter,0.7
1/6/92,1992,1,6,1992,Dry,6,Winter,0.8
1/7/92,1992,1,7,1992,Dry,7,Winter,0.6
1/8/92,1992,1,8,1992,Dry,8,Winter,0.5
1/9/92,1992,1,9,1992,Dry,9,Winter,0.6
1/10/92,1992,1,10,1992,Dry,10,Winter,0.6
1/11/92,1992,1,11,1992,Dry,11,Winter,0.6
1/12/92,1992,1,12,1992,Dry,12,Winter,0.6
1/13/92,1992,1,13,1992,Dry,13,Winter,0.5
1/14/92,1992,1,14,1992,Dry,14,Winter,0.5
1/15/92,1992,1,15,1992,Dry,15,Winter,0.5
1/16/92,1992,1,16,1992,Dry,16,Winter,0.5
1/17/92,1992,1,17,1992,Dry,17,Winter,0.4
1/18/92,1992,1,18,1992,Dry,18,Winter,0.5
1/19/92,1992,1,19,1992,Dry,19,Winter,0.4
1/20/92,1992,1,20,1992,Dry,20,Winter,0.4
1/21/92,1992,1,21,1992,Dry,21,Winter,0.4
1/22/92,1992,1,22,1992,Dry,22,Winter,0.4
1/23/92,1992,1,23,1992,Dry,23,Winter,0.4
1/24/92,1992,1,24,1992,Dry,24,Winter,0.4
1/25/92,1992,1,25,1992,Dry,25,Winter,0.4
1/26/92,1992,1,26,1992,Dry,26,Winter,0.4
1/27/92,1992,1,27,1992,Dry,27,Winter,0.4
1/28/92,1992,1,28,1992,Dry,28,Winter,0.4
1/29/92,1992,1,29,1992,Dry,29,Winter,0.4
1/30/92,1992,1,30,1992,Dry,30,Winter,0.4
1/31/92,1992,1,31,1992,Dry,31,Winter,0.4
2/1/92,1992,2,1,1992,Dry,32,Winter,0.5
2/2/92,1992,2,2,1992,Dry,33,Winter,0.4
2/3/92,1992,2,3,1992,Dry,34,Winter,0.5
